occ_code,rank,main_term,total_count,variants
11140,1,action items,2,"[[""action items"", 2]]"
11140,2,agenda planning,2,"[[""agenda planning"", 2]]"
11140,3,approval,2,"[[""approval"", 2]]"
11140,4,clinical governance,2,"[[""clinical governance"", 2]]"
11140,5,communication,2,"[[""communication"", 2]]"
11140,6,coordination,2,"[[""coordination"", 2]]"
11140,7,implementation,2,"[[""implementation"", 2]]"
11140,8,medical affairs,2,"[[""medical affairs"", 2]]"
11140,9,meeting coordination,2,"[[""meeting coordination"", 2]]"
11140,10,minute-taking,2,"[[""minute-taking"", 2]]"
11140,11,policy administration,2,"[[""policy administration"", 2]]"
11140,12,presentation collation,2,"[[""presentation collation"", 2]]"
11140,13,project support,2,"[[""project support"", 2]]"
11140,14,review,2,"[[""review"", 2]]"
11140,15,stakeholder engagement,2,"[[""stakeholder engagement"", 2]]"
11150,1,communication,3,"[[""communication"", 3]]"
11150,2,risk,3,"[[""risk"", 3]]"
11150,3,risk management,3,"[[""risk management"", 3]]"
11150,4,systems thinker,2,"[[""systems thinker"", 2]]"
11150,5,client management platforms,2,"[[""client management platforms"", 2]]"
11150,6,engagement,2,"[[""engagement"", 2]]"
11150,7,business development,2,"[[""business development"", 2]]"
11150,8,efficiency,2,"[[""efficiency"", 2]]"
11150,9,compliance,2,"[[""compliance"", 2]]"
11150,10,finance,2,"[[""finance"", 2]]"
11150,11,microsoft office,2,"[[""microsoft office"", 2]]"
11150,12,operational excellence,2,"[[""operational excellence"", 2]]"
11150,13,performance management,2,"[[""performance management"", 2]]"
11150,14,project management,2,"[[""project management"", 2]]"
11150,15,reconciliation,2,"[[""reconciliation"", 2]]"
11150,16,administrative and reporting skills,1,"[[""administrative and reporting skills"", 1]]"
11150,17,advisors,1,"[[""advisors"", 1]]"
11150,18,ageing,1,"[[""ageing"", 1]]"
11150,19,agile multi-disciplinary teams,1,"[[""agile multi-disciplinary teams"", 1]]"
11150,20,structuring packages,1,"[[""structuring packages"", 1]]"
11150,21,succession planning,1,"[[""succession planning"", 1]]"
11150,22,support service development,1,"[[""support service development"", 1]]"
11150,23,sustainability,1,"[[""sustainability"", 1]]"
11150,24,system implementation,1,"[[""system implementation"", 1]]"
11150,25,system improvements,1,"[[""system improvements"", 1]]"
11150,26,talent acquisition,1,"[[""talent acquisition"", 1]]"
11150,27,talent growth,1,"[[""talent growth"", 1]]"
11150,28,talent retention,1,"[[""talent retention"", 1]]"
11150,29,tax advisors,1,"[[""tax advisors"", 1]]"
11150,30,tax-deductible,1,"[[""tax-deductible"", 1]]"
11150,31,team environment,1,"[[""team environment"", 1]]"
11150,32,technical excellence,1,"[[""technical excellence"", 1]]"
11150,33,benefits programs,1,"[[""benefits programs"", 1]]"
11150,34,billing,1,"[[""billing"", 1]]"
11150,35,blended finance,1,"[[""blended finance"", 1]]"
11150,36,board & leadership readiness,1,"[[""board & leadership readiness"", 1]]"
11150,37,board administration,1,"[[""board administration"", 1]]"
11150,38,bonus,1,"[[""bonus"", 1]]"
11150,39,budget management,1,"[[""budget management"", 1]]"
11150,40,budgeting,1,"[[""budgeting"", 1]]"
11150,41,business,1,"[[""business"", 1]]"
11150,42,business growth,1,"[[""business growth"", 1]]"
11150,43,business performance,1,"[[""business performance"", 1]]"
11150,44,cc leasehold land,1,"[[""cc leasehold land"", 1]]"
11150,45,charity sector,1,"[[""charity sector"", 1]]"
11150,46,cib banking & coverage,1,"[[""cib banking & coverage"", 1]]"
11150,47,cib strategy,1,"[[""cib strategy"", 1]]"
11150,48,client data,1,"[[""client data"", 1]]"
11150,49,client engagement,1,"[[""client engagement"", 1]]"
11150,50,client feedback,1,"[[""client feedback"", 1]]"
11160,1,communication,7,"[[""communication"", 5], [""communications"", 2]]"
11160,2,stakeholder engagement,4,"[[""stakeholder engagement"", 4]]"
11160,3,planning,4,"[[""planning"", 4]]"
11160,4,documentation,3,"[[""documentation"", 3]]"
11160,5,research,3,"[[""research"", 3]]"
11160,6,organisational,3,"[[""organisational"", 3]]"
11160,7,integrity,2,"[[""integrity"", 2]]"
11160,8,branding,2,"[[""branding"", 2]]"
11160,9,critical thinking,2,"[[""critical thinking"", 2]]"
11160,10,external communication,2,"[[""external communication"", 2]]"
11160,11,governance,2,"[[""governance"", 2]]"
11160,12,strategic planning,2,"[[""strategic planning"", 2]]"
11160,13,reports,2,"[[""reports"", 2]]"
11160,14,time management,2,"[[""time management"", 2]]"
11160,15,microsoft office,2,"[[""microsoft office"", 2]]"
11160,16,partnerships,2,"[[""partnerships"", 2]]"
11160,17,organisational skills,2,"[[""organisational skills"", 2]]"
11160,18,interpersonal,2,"[[""interpersonal"", 2]]"
11160,19,legal,2,"[[""legal"", 2]]"
11160,20,organisational development,2,"[[""organisational development"", 2]]"
11160,21,operations,2,"[[""operations"", 2]]"
11160,22,coordination,2,"[[""coordination"", 2]]"
11160,23,fundraising,2,"[[""fundraising"", 2]]"
11160,24,attention to detail,2,"[[""attention to detail"", 2]]"
11160,25,interpersonal skills,2,"[[""interpersonal skills"", 2]]"
11160,26,c-suite leaders,1,"[[""c-suite leaders"", 1]]"
11160,27,budgeting,1,"[[""budgeting"", 1]]"
11160,28,budget understanding,1,"[[""budget understanding"", 1]]"
11160,29,budget planning,1,"[[""budget planning"", 1]]"
11160,30,brainstorming sessions,1,"[[""brainstorming sessions"", 1]]"
11160,31,board meetings,1,"[[""board meetings"", 1]]"
