occ_code,avg_sal_min,avg_sal_max,median_sal,mean_exp,median_exp,job_post_count
11140,3650.0,4500.0,4075.0,0.0,0.0,2
11150,7658.333333333333,11275.0,7500.0,5.25,5.0,12
11160,4850.0,6620.0,4875.0,5.0,5.0,10
11201,6168.75,9568.75,7550.0,4.8125,4.5,32
11202,8643.478260869566,12552.173913043478,10000.0,7.217391304347826,5.0,23
11203,7566.666666666667,11876.666666666666,8000.0,5.5,5.0,30
12111,5731.065789473684,7634.176315789474,5750.0,4.923684210526316,5.0,380
12112,3406.6496350364964,4973.4525547445255,3250.0,2.7372262773722627,2.0,137
12113,5479.234042553191,7950.106382978724,5600.0,4.212765957446808,3.0,94
12121,5063.343181818182,7016.952272727272,5000.0,4.384090909090909,4.0,440
12122,3000.0,4500.0,3750.0,3.0,3.0,1
12123,3493.451327433628,5515.858407079646,3900.0,1.761061946902655,1.0,113
12131,7293.333333333333,11400.0,4500.0,2.6666666666666665,0.0,3
12132,5690.277777777777,10058.333333333334,7500.0,3.1666666666666665,2.0,72
12133,7022.644444444444,11819.31111111111,7500.0,5.2,5.0,45
12191,4279.090909090909,5715.964646464647,4500.0,3.8686868686868685,3.0,198
12192,3651.1111111111113,4984.444444444444,4000.0,2.6666666666666665,3.0,9
12193,3969.491525423729,5829.661016949152,4000.0,2.711864406779661,2.0,59
12194,7212.5,9437.5,6000.0,6.375,3.0,8
12199,4558.333333333333,5641.666666666667,3925.0,2.6666666666666665,3.0,12
12211,4336.657190635451,6572.040133779265,4500.0,3.0785953177257523,3.0,598
12212,6069.526315789473,8748.377192982456,6500.0,4.1535087719298245,4.0,228
12213,6834.507936507936,10002.777777777777,6000.0,4.432539682539683,3.0,252
12214,5131.428571428572,7231.428571428572,5500.0,4.485714285714286,3.0,35
12215,4056.6548672566373,5601.079646017699,3850.0,2.1238938053097347,2.0,113
12221,5037.857142857143,6885.714285714285,5725.0,3.6785714285714284,4.0,28
12222,4943.953608247422,7268.494845360825,4500.0,3.329896907216495,3.0,194
12230,8064.625,12083.375,8337.5,5.166666666666667,5.0,24
12241,4103.498599439776,6080.683473389356,4250.0,2.526610644257703,2.0,357
12242,3281.417322834646,4346.902887139107,3500.0,1.9763779527559056,2.0,381
13210,4891.191176470588,21348.514705882353,4575.0,4.3088235294117645,3.0,68
13230,5491.767064846416,8314.537542662116,6250.0,5.0,5.0,1172
13241,4189.145922746781,5778.615879828326,3750.0,3.3991416309012874,3.0,466
13242,4392.805460750853,6123.795221843004,4250.0,3.63481228668942,3.0,293
13243,4789.473684210527,6326.315789473684,4500.0,3.6491228070175437,3.0,57
13244,4771.909090909091,6555.272727272727,3949.5,2.5454545454545454,2.0,11
13245,4723.728813559322,6798.3050847457625,5000.0,3.2711864406779663,3.0,59
13291,6389.677419354839,9210.322580645161,6875.0,4.919354838709677,4.0,62
13292,5029.120253164557,6672.411392405063,5000.0,3.9873417721518987,3.0,158
13301,8304.954954954956,11924.027027027027,8000.0,6.09009009009009,5.0,111
13302,7951.0204081632655,11567.34693877551,9000.0,6.326530612244898,6.0,98
13303,5330.976368159204,7794.228855721393,5750.0,3.9378109452736316,3.0,804
13304,6115.328947368421,8471.315789473685,7000.0,4.842105263157895,5.0,152
13305,8216.196078431372,11748.627450980392,9500.0,5.607843137254902,5.0,51
13306,8397.150943396226,13633.0,9500.0,6.490566037735849,5.0,53
13410,3274.86,4411.555555555556,3500.0,2.1977777777777776,1.0,450
13420,4743.197674418605,6781.337209302325,4750.0,2.9825581395348837,2.0,172
13430,3279.7235294117645,4427.517647058824,3100.0,2.6882352941176473,2.0,170
13441,4200.234042553191,5222.04255319149,4550.0,3.425531914893617,3.0,47
13442,3569.3829787234044,4645.95744680851,3700.0,2.4468085106382977,2.0,47
13451,3597.5325443786983,5250.248520710059,3250.0,2.7041420118343193,2.0,169
13459,4237.7464788732395,6182.5352112676055,3500.0,2.5211267605633805,2.0,71
13461,8059.0,12238.476923076923,7750.0,5.207692307692308,5.0,130
13462,5282.608695652174,7167.391304347826,5900.0,3.347826086956522,3.0,23
13463,6438.298076923077,8722.115384615385,6325.0,4.3076923076923075,4.0,104
13491,3778.2,4479.4,3700.0,1.6,2.0,5
13492,4025.3447098976108,5583.686006825938,3910.0,2.887372013651877,2.0,293
13493,4315.0,6260.714285714285,4900.0,3.4285714285714284,3.0,14
13499,3100.0,5200.0,4150.0,3.0,3.0,1
14110,3515.958762886598,4636.350515463918,3750.0,3.3350515463917527,3.0,194
14121,3457.0111683848795,4907.9252577319585,3650.0,2.5781786941580758,2.0,1164
14122,3512.26,4802.36,3850.0,2.78,2.0,50
14123,3886.3204225352115,5510.292253521126,4025.0,3.119718309859155,3.0,284
14201,4433.193277310925,6256.72268907563,4500.0,3.7815126050420167,3.0,119
14202,5211.111111111111,8422.222222222223,4500.0,3.888888888888889,5.0,9
14310,3423.076923076923,4458.461538461538,3400.0,2.6153846153846154,2.0,13
14321,6442.857142857143,8642.857142857143,2550.0,5.142857142857143,0.0,7
14322,3600.0,4333.333333333333,3300.0,2.0,1.0,9
14323,3540.5882352941176,5138.235294117647,4225.0,2.3823529411764706,1.0,34
14324,4419.057142857143,6638.0952380952385,5000.0,3.3523809523809525,3.0,105
14325,3599.818181818182,5112.75,3625.0,2.7954545454545454,2.0,44
14330,3927.777777777778,5901.111111111111,5000.0,2.4444444444444446,2.0,9
14391,3255.0471698113206,4417.688679245283,3450.0,1.9339622641509433,1.0,106
14392,4977.083333333333,7037.5,4437.5,4.083333333333333,4.5,24
14399,3250.0,4750.0,4000.0,1.5,1.5,2
21120,5333.333333333333,9166.666666666666,7500.0,3.6666666666666665,3.0,3
21130,4285.714285714285,6400.0,5000.0,2.0,2.0,7
21141,3385.714285714286,5342.857142857143,4500.0,2.4285714285714284,2.0,7
21142,5000.0,6500.0,5750.0,2.0,2.0,1
21211,5666.666666666667,10166.666666666666,8375.0,1.1666666666666667,1.0,6
21212,6423.454545454545,9553.454545454546,6275.0,3.409090909090909,3.0,22
21213,6191.666666666667,9433.333333333334,7500.0,4.083333333333333,3.5,12
21221,5050.0,6833.333333333333,5500.0,2.6666666666666665,2.0,9
21222,6774.411764705882,9983.823529411764,7875.0,4.0,4.5,34
21231,7200.0,10100.0,9750.0,5.8,8.0,5
21239,5000.0,8000.0,6500.0,2.0,2.0,1
21311,3000.0,6000.0,4500.0,2.0,2.0,1
21319,4000.0,6500.0,5250.0,0.5,0.5,2
21321,4050.0,6640.0,4750.0,1.8,2.0,5
21322,2400.0,3600.0,3000.0,1.0,1.0,1
21323,2920.0,3860.0,3150.0,1.6,1.0,5
21329,4392.857142857143,6571.428571428572,6000.0,0.8571428571428571,1.0,7
21331,6490.0,9900.0,4750.0,4.6,3.0,20
21332,4650.0,9300.0,6975.0,1.0,1.0,2
21333,3403.846153846154,4803.846153846154,3900.0,2.6153846153846154,2.0,13
21339,3333.3333333333335,5900.0,4850.0,5.0,3.0,3
21341,5112.5,7737.5,5825.0,1.125,1.0,8
21342,3295.0,4615.0,3925.0,1.9,2.0,20
21343,2900.0,4750.0,3825.0,1.5,1.5,2
21344,4600.0,6000.0,5300.0,3.0,3.0,1
21345,6666.666666666667,10700.0,4750.0,3.6666666666666665,1.0,3
21346,6623.833333333333,12016.666666666666,8360.75,4.166666666666667,3.5,6
21347,4210.6736842105265,6304.5368421052635,4750.0,1.9052631578947368,2.0,95
21349,6441.666666666667,12000.0,6937.5,2.0,0.5,6
