code,title,major_code,major_title
11110,Legislator,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
11121,Senior government official,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
11122,Senior statutory board official,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
11140,Senior official of political party organisation,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
11150,Senior official of employers’/workers’ and related economic-interest organisation,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
11160,Senior official of humanitarian and other special-interest organisation,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
11201,Managing director/Chief executive officer,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
11202,Company director,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
11203,Chief operating officer/General manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12111,Budgeting/Financial accounting manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12112,Administration manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12113,Audit manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12121,Personnel/Human resource manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12122,Industrial relations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12123,Training manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12131,Policy manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12132,Strategic planning manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12133,Risk management manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12191,Premises/Facilities maintenance manager (excluding building security),1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12192,Landscape manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12193,Cleaning operations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12194,Security manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12195,Intellectual property manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12199,Other business services/administration manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12211,Sales manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12212,Business development manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12213,Regional sales manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12214,Merchandising/Category manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12215,Online sales channel manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12221,Advertising/Public relations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12222,Marketing manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12230,Research and development manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12241,Customer service manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
12242,Call centre manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13100,Production manager in agriculture/fisheries,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13210,Manufacturing manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13230,Construction manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13241,Supply and distribution/Logistics/Warehousing manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13242,Procurement/Purchasing manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13243,Transport/Technical operations manager (excluding port and shipping operations),1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13244,Postal service manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13245,Port/Shipping operations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13291,Technical/Engineering services manager (excluding transport),1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13292,Quality control/assurance manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13299,Other production/operations manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13301,Chief information officer/Chief technology officer/Chief information security officer,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13302,Software and applications manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13303,Network/Communications/Infrastructure manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13304,ICT service manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13305,Chief product officer,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13306,ICT product design manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13410,Preschool education/Early intervention centre manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13420,Health services manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13430,Aged care services manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13441,Social services manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13442,Volunteer manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13451,School principal,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13459,Education/Training institution manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13461,Financial services manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13462,Insurance services manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13463,Financial risk manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13491,National security/Civil defence/Immigration managerial officer,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13492,Community partnership/relations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13493,Media/Broadcast manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
13499,Other professional/financial/community/social services manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14110,Hotel operations/Lodging services manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14121,Restaurant manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14122,Catering manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14123,Food and beverage operations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14201,Retail manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14202,Wholesale trade manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14310,Sports centre manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14321,Casino operations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14322,Attractions manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14323,Discotheque/Karaoke/Nightclub manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14324,Wellness centre manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14325,Country club manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14329,Recreation centre manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14330,Arts/Cultural centre manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14391,Event manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14392,Travel agency manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
14399,Other services manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
21110,Physicist/Astronomer,2,PROFESSIONALS
21120,Meteorologist,2,PROFESSIONALS
21130,Chemist,2,PROFESSIONALS
21141,Geologist,2,PROFESSIONALS
21142,Geophysicist,2,PROFESSIONALS
21149,Geologist/Geophysicist and related physical science professional n.e.c.,2,PROFESSIONALS
21211,Mathematician,2,PROFESSIONALS
21212,Operations research analyst,2,PROFESSIONALS
21213,Actuary,2,PROFESSIONALS
21221,Statistician,2,PROFESSIONALS
21222,Data scientist,2,PROFESSIONALS
21231,Statistical officer/Data analyst,2,PROFESSIONALS
21239,Other statistical/mathematical/actuarial professional n.e.c.,2,PROFESSIONALS
21311,Biologist,2,PROFESSIONALS
21312,Zoologist,2,PROFESSIONALS
21319,Biologist/Botanist/Zoologist and related professional n.e.c.,2,PROFESSIONALS
21321,Horticulturist/Arborist,2,PROFESSIONALS
21322,Aquaculturist,2,PROFESSIONALS
21323,Agriculturist,2,PROFESSIONALS
21329,Farming/Forestry/Fishery adviser n.e.c.,2,PROFESSIONALS
21331,Environmental officer (environmental protection),2,PROFESSIONALS
21332,Environment research scientist,2,PROFESSIONALS
21333,Environmental analyst,2,PROFESSIONALS
21339,Environmental protection and related professional n.e.c.,2,PROFESSIONALS
21341,Pharmacologist,2,PROFESSIONALS
21342,Medical laboratory scientist,2,PROFESSIONALS
21343,Biochemist,2,PROFESSIONALS
21344,Physiologist,2,PROFESSIONALS
21345,Animal scientist,2,PROFESSIONALS
21346,Medical scientist,2,PROFESSIONALS
21347,Clinical research professional,2,PROFESSIONALS
21349,Pharmacologist and related professional n.e.c.,2,PROFESSIONALS
21411,Manufacturing engineer,2,PROFESSIONALS
21412,Production engineer,2,PROFESSIONALS
21413,Automation engineer,2,PROFESSIONALS
21414,Quality control/assurance engineer,2,PROFESSIONALS
21415,Process engineer,2,PROFESSIONALS
21421,Civil engineer,2,PROFESSIONALS
21422,Building construction engineer,2,PROFESSIONALS
21430,Environmental engineer,2,PROFESSIONALS
21441,Mechanical engineer,2,PROFESSIONALS
21442,Industrial machinery/tools engineer,2,PROFESSIONALS
21443,Air-conditioning/Refrigeration engineer,2,PROFESSIONALS
21444,Port equipment engineer,2,PROFESSIONALS
21451,Chemical engineer (excluding petroleum and petrochemical),2,PROFESSIONALS
21452,Chemical engineer (petroleum),2,PROFESSIONALS
21453,Chemical engineer (petrochemical),2,PROFESSIONALS
21454,Food/Drink technologist,2,PROFESSIONALS
21460,Mining engineer/Metallurgist and related professional,2,PROFESSIONALS
21471,Aeronautical engineer,2,PROFESSIONALS
21472,Automotive engineer,2,PROFESSIONALS
21473,Marine engineer,2,PROFESSIONALS
21474,Naval architect,2,PROFESSIONALS
21475,Rolling stock engineer,2,PROFESSIONALS
21491,Biomedical engineer,2,PROFESSIONALS
21492,Materials engineer,2,PROFESSIONALS
21493,Industrial safety engineer,2,PROFESSIONALS
21494,Quantity surveyor,2,PROFESSIONALS
21495,Intellectual property engineer,2,PROFESSIONALS
