code,title,major_code,major_title,x,y
11110,Legislator,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.7613215,7.7455435
11121,Senior government official,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.887614,7.5674667
11122,Senior statutory board official,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.857881,7.557187
11140,Senior official of political party organisation,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.9232802,7.524226
11150,Senior official of employers’/workers’ and related economic-interest organisation,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.9496,7.547038
11160,Senior official of humanitarian and other special-interest organisation,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.9803634,7.3825436
11201,Managing director/Chief executive officer,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.656447,7.2197037
11202,Company director,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.7599254,7.3023133
11203,Chief operating officer/General manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.573509,7.123982
12111,Budgeting/Financial accounting manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.1641693,8.031741
12112,Administration manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.6018786,7.1667295
12113,Audit manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.055898,8.075011
12121,Personnel/Human resource manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",5.35024,7.4791875
12122,Industrial relations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",5.2693605,7.472576
12123,Training manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",5.3926387,7.342054
12131,Policy manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.965844,7.631285
12132,Strategic planning manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",5.1576004,7.859293
12133,Risk management manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.270411,8.979222
12191,Premises/Facilities maintenance manager (excluding building security),1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",3.9153543,6.6379604
12192,Landscape manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",-0.6467121,3.1243973
12193,Cleaning operations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.0855236,6.5752287
12194,Security manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2.9421484,6.7992845
12195,Intellectual property manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.8270783,8.855833
12199,Other business services/administration manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.557356,6.910868
12211,Sales manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6.2468867,8.529651
12212,Business development manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6.232401,8.451506
12213,Regional sales manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6.213517,8.562005
12214,Merchandising/Category manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6.211463,8.58078
12215,Online sales channel manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6.2698364,8.476176
12221,Advertising/Public relations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6.184611,8.156092
12222,Marketing manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6.338942,8.280445
12230,Research and development manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.1541686,9.0909
12241,Customer service manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",3.9559584,7.22307
12242,Call centre manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",3.9813762,7.2011943
13100,Production manager in agriculture/fisheries,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",-1.3201417,2.8833108
13210,Manufacturing manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",3.9041736,6.7663016
13230,Construction manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",3.8353639,6.766458
13241,Supply and distribution/Logistics/Warehousing manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2.275245,8.509301
13242,Procurement/Purchasing manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",5.48883,9.364634
13243,Transport/Technical operations manager (excluding port and shipping operations),1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",1.7128333,8.363772
13244,Postal service manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2.2284544,8.167629
13245,Port/Shipping operations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2.0031052,8.517222
13291,Technical/Engineering services manager (excluding transport),1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2.180868,9.631537
13292,Quality control/assurance manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",-2.9412785,5.84292
13299,Other production/operations manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.435738,6.9278727
13301,Chief information officer/Chief technology officer/Chief information security officer,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2.3802855,9.989044
13302,Software and applications manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2.601918,9.847876
13303,Network/Communications/Infrastructure manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2.2067113,9.89103
13304,ICT service manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2.3571243,9.902399
13305,Chief product officer,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2.577673,9.780998
13306,ICT product design manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2.688798,9.843961
13410,Preschool education/Early intervention centre manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6.325282,5.139994
13420,Health services manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.850406,6.6930413
13430,Aged care services manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.8864965,6.6645675
13441,Social services manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",5.072067,6.5974107
13442,Volunteer manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",5.0753636,6.555701
13451,School principal,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6.6537833,5.1911836
13459,Education/Training institution manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6.683816,5.3718133
13461,Financial services manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.3944674,9.305623
13462,Insurance services manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.4299517,9.127293
13463,Financial risk manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.3857536,9.355157
13491,National security/Civil defence/Immigration managerial officer,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2.9043179,6.821482
13492,Community partnership/relations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.7887444,6.7630353
13493,Media/Broadcast manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.141741,6.317241
13499,Other professional/financial/community/social services manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.8260574,6.715906
14110,Hotel operations/Lodging services manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",3.8337831,5.8540416
14121,Restaurant manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.111039,4.8086443
14122,Catering manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.2453666,4.8164577
14123,Food and beverage operations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.1796203,4.6508794
14201,Retail manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6.1992455,8.663917
14202,Wholesale trade manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6.0397887,8.924881
14310,Sports centre manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.1896715,6.095732
14321,Casino operations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",3.9947639,6.279852
14322,Attractions manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.0923696,6.0719767
14323,Discotheque/Karaoke/Nightclub manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.0373006,5.9999213
14324,Wellness centre manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.24334,6.17649
14325,Country club manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.137929,6.110891
14329,Recreation centre manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.187464,6.1688404
14330,Arts/Cultural centre manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.11753,6.1162434
14391,Event manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.121528,6.0716715
14392,Travel agency manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.1122613,6.1011605
14399,Other services manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4.6445084,6.845128
21110,Physicist/Astronomer,2,PROFESSIONALS,-2.391369,4.8382535
21120,Meteorologist,2,PROFESSIONALS,-2.4985912,4.80673
21130,Chemist,2,PROFESSIONALS,-1.9618219,4.64451
21141,Geologist,2,PROFESSIONALS,-2.3250227,5.705711
21142,Geophysicist,2,PROFESSIONALS,-2.3318372,5.379019
